[0.33343047, -0.8904687]
[0.40212032, -1.0753561]
[0.35337353, -0.94402635]
[0.38898158, -1.0379076]
[0.36662084, -0.97858024]
[0.37823647, -1.0080391]
[0.37618828, -1.0011983]
[0.37402582, -0.9938338]
[0.37988076, -1.0075642]
[0.37456518, -0.99342346]
[0.3788527, -1.004468]
[0.37641653, -0.99774176]
[0.37705618, -1.0005589]
[0.3769881, -1.0004251]
[0.37677917, -0.9992206]
[0.37760705, -1.0007278]
[0.37744194, -0.9994989]
[0.37792253, -1.0002632]
[0.37810457, -0.9999067]
[0.3781435, -1.0000038]
[0.37758738, -1.0000262]
[0.37759358, -0.99997437]
[0.37791878, -1.0000156]
[0.37830037, -0.9999931]
[0.3790396, -1.0000021]
[0.3780985, -0.99999964]
[0.37730068, -0.99999994]
[0.37797418, -1.0000001]
[0.37730265, -0.99999994]
[0.37665087, -1.0]
[0.3770292, -1.0]
[0.37683365, -1.0]
[0.37657246, -1.0]
[0.37671325, -1.0]
[0.3772573, -1.0]
[0.37781483, -1.0]
[0.3775661, -1.0]
[0.37725246, -0.9999999]
[0.3776697, -1.0]
[0.37843293, -1.0]
[0.37906855, -0.99999994]
[0.3792463, -1.0]
[0.37956634, -0.9999999]
[0.38012728, -1.0]
[0.37934905, -1.0]
[0.3782443, -1.0]
[0.37764776, -0.99999994]
[0.37741694, -1.0]
[0.37818125, -1.0]
[0.37825403, -0.99999994]
[0.37866554, -1.0]
[0.3797253, -0.99999994]
[0.37967458, -0.9999999]
[0.38017523, -1.0]
[0.38061857, -1.0]
[0.38044554, -1.0000001]
[0.3811622, -1.0]
[0.38184452, -1.0]
[0.38254327, -1.0000002]
[0.38362062, -1.0]
[0.38412872, -1.0]
[0.3842226, -0.99999994]
[0.38392186, -1.0]
[0.38356262, -0.99999994]
[0.3835412, -1.0]
[0.3835257, -1.0000001]
[0.38300884, -1.0]
[0.38304836, -0.99999994]
[0.38413432, -0.99999994]
[0.3837102, -1.0]
[0.38318366, -0.99999994]
[0.38408798, -1.0]
[0.3839146, -0.99999994]
[0.38351965, -1.0]
[0.38366455, -1.0]
[0.38325673, -0.99999994]
[0.38339442, -1.0]
[0.3835231, -1.0]
[0.3828698, -1.0]
[0.38300496, -1.0]
[0.38327625, -0.99999994]
[0.38295227, -1.0]
[0.3834271, -1.0000001]
[0.38345143, -1.0]
[0.38299286, -1.0]
[0.3835253, -0.99999994]
[0.3835339, -0.99999994]
[0.38304105, -1.0]
[0.3827431, -1.0]
[0.3828231, -1.0000002]
[0.3833865, -1.0]
[0.38407117, -0.99999994]
[0.383996, -1.0]
[0.38371855, -1.0]
[0.3839335, -1.0]
[0.38299742, -0.99999994]
[0.3825402, -0.99999994]
[0.38277662, -1.0]
[0.38230172, -0.99999994]
[0.38243672, -1.0]
[0.38262668, -1.0]
[0.38265458, -0.9999999]
[0.3826173, -1.0]
[0.38212067, -1.0]
[0.38253844, -0.99999994]
[0.3829972, -0.9999999]
[0.3824477, -1.0000001]
[0.3825841, -0.99999994]
[0.38340503, -1.0]
[0.38474795, -1.0]
[0.38558978, -1.0]
[0.38543805, -1.0]
[0.38612205, -1.0]
[0.38591817, -1.0]
[0.38516325, -1.0]
[0.38618326, -1.0]
[0.38694513, -1.0]
[0.38709787, -1.0]
[0.38743645, -1.0]
[0.38742876, -0.99999994]
[0.3876899, -1.0]
[0.38764897, -1.0]
[0.38711575, -1.0]
[0.38754338, -1.0]
[0.38793087, -1.0]
[0.38761622, -1.0]
[0.3875909, -1.0]
[0.38775304, -1.0]
[0.38802323, -1.0]
[0.38814032, -1.0]
[0.38825136, -0.9999999]
[0.38845548, -1.0000001]
[0.38831416, -1.0]
[0.38816863, -1.0]
[0.3883843, -1.0]
[0.38873535, -0.99999994]
[0.38862383, -0.99999994]
[0.38785565, -1.0]
[0.38706386, -0.99999994]
[0.38707107, -0.99999994]
[0.38716415, -1.0]
[0.386899, -1.0]
[0.3866843, -0.99999994]
[0.38650608, -1.0000002]
[0.3864804, -1.0]
[0.3857373, -1.0]
[0.38521844, -0.9999999]
[0.38578764, -1.0]
[0.3861281, -0.99999994]
[0.38681936, -1.0]
[0.38674608, -1.0]
[0.38621768, -1.0]
[0.3869636, -0.99999994]
[0.38711157, -1.0]
[0.38717055, -1.0]
[0.38719526, -0.99999994]
[0.38704583, -0.9999999]
[0.38744777, -1.0]
[0.3873965, -1.0]
[0.38751158, -1.0]
[0.38823143, -1.0]
[0.3887335, -1.0]
[0.3889884, -0.99999994]
[0.3894164, -1.0000001]
[0.38927335, -0.9999999]
[0.38927412, -1.0]
[0.38979593, -1.0]
[0.38998854, -1.0]
[0.39050004, -1.0]
[0.39127794, -1.0]
[0.39164054, -1.0]
[0.39200908, -0.99999994]
[0.39268154, -1.0]
[0.39264196, -1.0]
[0.39259624, -1.0]
[0.39246503, -1.0]
[0.3922614, -1.0]
[0.3925937, -1.0]
[0.39221084, -1.0]
[0.3924333, -1.0]
[0.3929624, -1.0]
[0.39322042, -1.0]
[0.39408115, -1.0]
[0.39421976, -1.0]
[0.39430994, -0.9999999]
[0.3947165, -1.0]
[0.39444506, -1.0]
[0.39448717, -0.99999994]
[0.39506033, -1.0]
[0.39558002, -0.9999999]
[0.39615008, -1.0]
[0.3966949, -1.0]
[0.3971253, -1.0]
[0.39737257, -0.99999994]
[0.39714527, -1.0]
[0.39606518, -1.0]
[0.39547336, -0.99999994]
[0.39551267, -1.0]
[0.3954655, -0.99999994]
[0.39593613, -0.9999999]
[0.39582267, -1.0]
[0.3953633, -1.0]
[0.39503095, -1.0000001]
[0.39422655, -1.0]
[0.39450556, -1.0]
[0.39534345, -1.0000002]
[0.39550245, -1.0]
[0.39589435, -1.0]
[0.39586943, -0.99999994]
[0.39556417, -1.0]
[0.39544562, -0.99999994]
[0.39490885, -1.0]
[0.39463687, -1.0000001]
[0.3950832, -1.0]
[0.39535874, -0.99999994]
[0.39527676, -0.99999994]
[0.39514035, -1.0]
[0.3951112, -0.99999994]
[0.3959887, -1.0]
[0.39606416, -0.99999994]
[0.3954783, -1.0]
[0.39589798, -1.0]
[0.3955283, -0.99999994]
[0.39586344, -1.0]
[0.39659214, -1.0]
[0.39632863, -1.0]
[0.39688814, -1.0]
[0.39685756, -0.99999994]
[0.39650154, -1.0]
[0.39704132, -1.0000001]
[0.39799407, -1.0]
[0.39809898, -1.0]
[0.39777413, -0.99999994]
[0.39810959, -0.99999994]
[0.3983721, -1.0]
[0.39907646, -1.0]
[0.3993497, -1.0000002]
[0.39957327, -1.0]
[0.39982265, -0.99999994]
[0.39974236, -1.0]
[0.39969853, -1.0]
[0.39908126, -1.0]
[0.39914274, -0.99999994]
[0.39924684, -0.99999994]
[0.3990726, -1.0]
[0.3992141, -0.99999994]
[0.3994708, -1.0]
[0.39969575, -1.0]
[0.39967364, -0.9999999]
[0.39961204, -1.0]
[0.3992384, -1.0]
[0.39891917, -0.99999994]
[0.39861578, -0.9999999]
[0.3985179, -1.0000001]
[0.39830726, -0.99999994]
[0.3982579, -1.0]
[0.398992, -1.0]
[0.39868236, -1.0]
[0.3987338, -1.0]
[0.39933217, -1.0]
[0.39806223, -1.0]
[0.3974936, -1.0]
[0.39827532, -1.0]
[0.3987859, -1.0]
[0.39898586, -1.0]
[0.3990122, -1.0]
[0.3997789, -0.99999994]
[0.40063533, -1.0]
[0.4011587, -1.0]
[0.4010424, -1.0]
[0.4003991, -1.0]
[0.3999679, -1.0]
[0.39998227, -1.0]
[0.40062016, -1.0]
[0.40044892, -1.0]
[0.3996563, -1.0]
[0.3993935, -1.0]
[0.3998657, -0.9999999]
[0.40014917, -1.0000001]
[0.39955506, -1.0]
[0.3994906, -1.0]
[0.40025604, -1.0]
[0.4007209, -0.99999994]
[0.40102988, -0.99999994]
[0.40152094, -1.0]
[0.40150416, -0.99999994]
[0.4019927, -0.99999994]
[0.4020963, -1.0]
[0.40154994, -1.0]
[0.40206233, -0.99999994]
[0.4016252, -1.0000002]
[0.40127113, -1.0]
[0.40142882, -1.0]
[0.4002754, -0.9999999]
[0.39982277, -1.0]
[0.3997401, -0.99999994]
[0.39943504, -1.0]
[0.39974636, -1.0]
[0.399683, -1.0]
[0.39969003, -0.99999994]
[0.4006918, -1.0]
[0.4010009, -1.0]
[0.4002717, -0.99999994]
[0.39980155, -0.9999999]
[0.3997406, -1.0]
